ensembl_id,gene_symbol,entrez_id,refseq_id
ENSG00000026103,FAS,355,NM_000043.6
ENSG00000026297,RNASET2,8635,NM_003730.6
ENSG00000026508,CD44,960,NM_000610.4
ENSG00000026559,KCNG1,3755,NM_002237.4
ENSG00000026652,AGPAT4,56895,NM_001012733.1
ENSG00000026751,SLAMF7,57823,NM_001282588.2
ENSG00000026950,BTN3A1,11119,NM_001145008.2
ENSG00000027001,MIPEP,4285,NM_005932.4
ENSG00000027075,PRKCH,5583,NM_006255.5
ENSG00000027644,INSRR,3645,NM_014215.3
ENSG00000027697,IFNGR1,3459,NM_000416.3
ENSG00000027847,B4GALT7,11285,NM_007255.3
ENSG00000027869,SH2D2A,9047,NM_001161441.2
ENSG00000028116,VRK2,7444,NM_001130480.2
ENSG00000028137,TNFRSF1B,7133,NM_001066.3
ENSG00000028203,VEZT,55591,NM_001352088.2
ENSG00000028277,POU2F2,5452,NM_001207025.4
ENSG00000028310,BRD9,65980,NM_001009877.3
ENSG00000028528,SNX1,6642,NM_001242933.2
ENSG00000028839,TBPL1,9519,NM_001253676.2
ENSG00000029153,ARNTL2,56938,NM_001248002.3
ENSG00000029363,BCLAF1,9774,NM_001077440.3
ENSG00000029364,SLC39A9,55334,NM_001252148.2
ENSG00000029534,ANK1,286,NM_000037.4
ENSG00000029559,IBSP,3381,NM_004967.4
ENSG00000029639,TFB1M,51106,NM_001350501.2
ENSG00000029725,RABEP1,9135,NM_001083585.3
ENSG00000029993,HMGB3,3149,NM_001301228.2
ENSG00000030066,NUP160,23279,NM_001318399.1
ENSG00000030110,BAK1,578,NM_001188.4
ENSG00000030304,MUSK,4593,NM_001166280.2
ENSG00000030419,IKZF2,22807,NM_001079526.2
ENSG00000030582,GRN,2896,NM_001012479.1
ENSG00000031003,FAM13B,51306,NM_001101800.3
ENSG00000031081,ARHGAP31,57514,NM_020754.4
ENSG00000031544,NR2E3,nan,nan
ENSG00000031691,CENPQ,55166,NM_018132.4
ENSG00000031698,SARS,6301,NM_001330669.1
ENSG00000031823,RANBP3,8498,NM_001300865.2
ENSG00000032219,ARID4A,5926,NM_002892.4
ENSG00000032389,TSSC1,7260,NM_001330530.3
ENSG00000032444,PNPLA6,10908,NM_001166111.2
ENSG00000032742,IFT88,8100,NM_001318491.2
ENSG00000033011,ALG1,56052,NM_001330504.2
ENSG00000033030,ZCCHC8,55596,NM_001350935.2
ENSG00000033050,ABCF2,10061,NM_007189.3
ENSG00000033100,CHPF2,54480,NM_001284295.2
ENSG00000033122,LRRC7,57554,NM_001330635.3
ENSG00000033170,FUT8,2530,NM_001371533.1
ENSG00000033178,UBA6,55236,NM_018227.6
ENSG00000033327,GAB2,9846,NM_012296.4
ENSG00000033627,ATP6V0A1,535,NM_001130020.3
ENSG00000033800,PIAS1,8554,NM_001320687.1
ENSG00000033867,SLC4A7,9497,NM_001258379.2
ENSG00000034053,APBA2,321,NM_001130414.1
ENSG00000034063,UHRF1,nan,nan
ENSG00000034152,MAP2K3,5606,NM_001316332.2
ENSG00000034239,EFCAB1,79645,NM_001142857.2
ENSG00000034510,TMSB10,9168,NM_021103.4
ENSG00000034533,ASTE1,28990,NM_001288950.2
ENSG00000034677,RNF19A,25897,NM_001280539.2
ENSG00000034693,PEX3,8504,NM_003630.3
ENSG00000034713,GABARAPL2,11345,NM_007285.7
ENSG00000034971,MYOC,4653,NM_000261.2
ENSG00000035115,SH3YL1,26751,NM_001159597.3
ENSG00000035141,FAM136A,84908,NM_001329752.2
